name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed,X,Y
Urns - central park (4),,1602,Y,Manhattan,Central Park,M010,7,6,Mall,Y,,,Basins on pedestals,"6'1""h",,"Rockport grnt (2), bluestone (2)",,also jonesboro red granite,,,,,,,,,,,,,,992180.6261871308,220669.36120440066
Wien Walk Plaques,"Wien, Lawrence A.",1752,Y,Manhattan,Central Park,M010,7,6,either side of Scholars Gate,Y,ca. 1988,ca. 1988,Two plaques,"H: 11"" W: 1'4""",,Bronze,,ASI Signs,,,Central Park Conservancy,,,,,Y,,,"approximately $1,000;",,,991790.3969807178,218085.64032197
Bethesda Fountain,Bethesda Fountain,114,Y,Manhattan,Central Park,M010,7,6,Bethesda Terrace,Y,"May 31, 1873",ca. 1873,"Fountain with two basins, upper basin surmounted by angel figure (heroic scale), four putti (life size) between upper and lower basins, in a circular pool",H: 25'; Diameter of lower basin 15'; Diameter of pool 96',CPC,"Figures--bronze, Lower basin--blue stone; Pool--Westerly granite (polished)","Ferdinand von Muller,","Royal Foundry, Munich",Emma Stebbins,,City of New York,,,Angel of the Waters,,Y,,,53945.00,"Sculpture, Allegorical, Women",,992326.8788473904,221380.3952153921
Seal of the State of New York (aka Excelsior),Seal of the State of New York,1780,Y,Manhattan,Central Park,M010,7,6,"Under exterior staircase, front entrance, the Arsenal",Y,ca. 1930,ca. 1900,"Eagle atop shield on integral plinth between two female figures, each on integral plinth","Eagle h 2'10½"" x l 3' x w 4""; each figure h 2'3½"" x l 11½"" x w 4"", 58"" across (attached to stone)",CPC,"Cast iron, granite",,,,,,,,,,Y,,,,Allegorical,,992227.4285869747,218931.47163556516
Kwanzan Prunus,,881,Y,Manhattan,Central Park,M010,7,6,East of Bethesda Fountain stairs,M,1974 or earlier (?),,Tablet on recessed plinth,,,"Aluminum, concrete",,,,,Unknown,,,,,,,,,Women,,,
Thomas Moore,,1056,Y,Manhattan,Central Park,M010,7,6,"Poet's Corner, East Driv, near 60th Street",Y,1879,,Portrait bust on pedestal,"Overall H: 12' 9"" W: 4'9"" D: 4'9""",CPC,"Bronze, Conway green granite",Geo. Fischer & Bros,,D.B. Sheahan,,Friendly Sons of St. Patrick,,,,,Y,,,,Writer,,991669.3394800574,218344.81401622295
Central Park Gates List,central park gates list,225,Y,Manhattan,Central Park,M010,7,6,,N,,,,,,,,,,,,,,,,,,,,,,,
"Library, New York Public",,906,N,Manhattan,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
Pelicans,,1172,O,the Bronx,Bronx Park,X002,14,12,Bronx Zoo; Birdhouse,Y,,,4 sculptures,,,Indiana limestone,,,,,,,,,,,,,,,,,
Imagine,"Lennon, John Ono",764,Y,Manhattan,Central Park,M010,7,6,"Strawberry Fields, Central Park West and 72nd Street",Y,"October 9, 1985",1985,"Mosaic roundel with starburst design set in pavement, plaque set in rock outcropping about a hundred yards east of roundel","Circumference: 34'3"" (approximate)",CPC,"Neapolitan black and white marble, bronze",,,,Bruce Kelly,"Gift of the city of Naples, Italy",,,,,Y,,,,Composer/Musician,,990927.4639953077,221870.5799305588
Study,Study,1511,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, beside center window in attic",Y,1903,ca. 1903,half-reclining male figure,,,Westerly granite,,,Henry Kirke Bush-Brown,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Alan Lomax Tablet,,2189,Y,Manhattan,,M010,7,6,Carousel,Y,,,curved bronze plaque,,,bronze,,,,,,,,,,,,,,Composer/Musician,,,
William Shakespeare,,1431,Y,Manhattan,Central Park,M010,7,6,Literary Mall,Y,"April 23, 1872",,Portrait statue on pedestal,"H: 17'11"" W: 8' D: 8'",CPC Blount endowment,"Bronze, Westerly granite, Rockport granite",,,John Quincy Adams Ward,,"Demar Barnes, Public subscription",,,,,Y,,,20000.00,Writer,,991934.7562720478,219734.76727305353
Alice Hochstader & Edward A. Kerbs,,859,Y,Manhattan,Central Park,M010,7,6,"East 72nd Street, Inventors Gatepost",Y,"June 2, 1954",,Tablet on exterior wall,"H: 1'5"" W: 1'9""",,Bronze,,,,,Jeanne E. Kerbs,,,,,Y,,,,,,993347.1953763068,220733.25576163828
Atlantic Avenue Plaque,Atlantic Avenue Plaque,60,Y,Brooklyn,,,0,0,Atlantic and Bedford Avenues,M,,,Plaque,,,Bronze,,,,,,,,,,,,,,,,,
"goldie, sarah",,594,N,Manhattan,,,8,5,"82ND ST., EAST OF 2ND AVE.",Y,1930,,plaque,,,bronze,j & r lamb,,,,gift - $135.,,,,,,,,,,,,
Soroptimist Plaque,Soroptimist Plaque,1471,Y,the Bronx,Van Cortlandt Park,X092,0,11,,N,1932,,Plaque,,,bronze,,,,,The Soroptimist Club of the Bronx,,,,,,,,,,,,
Rusty,,1976,Y,the Bronx,,X260,2,17,"Hunts Point Recreation Center, 765 Manida Street",Y,2002,,"Sculpture of dog made out of a continuous piece of steel, on flat metal base","H: 25"" L: 35"" W: 12""",,Steel,,,Monica Banks,Castro-Blanco Piscioneri and Associates / Hanrahan and Meyers,"City of New York, Percent for Art",,,,,Y,,,,,,1014938.9943842143,236193.00863473117
triumph of justice,,1573,N,the Bronx,,,4,17,,Y,,,,,,,,,,,,,,,,,,,,,,,
public school #72,,1275,N,Queens,,,0,0,"MASPETH AVE, AT CLAREMONT AVE; maspeth l.i.",Y,1921,,tablet,,,bronze,john polacheck bronze co,,,,"gift, $650.",,,,,,,,,,,,
Fort Hamilton D.A.R. Tablet,,525,Y,Brooklyn,John Paul Jones Park,B035,10,43,"4th Ave, 101st Street, Ft. Hamilton Pkwy.",Y,1916,,Tablet on natural boulder,"Tablet H: 20"" W: 30""; Boulder H: 4'10"" W: 9'6"" D: 5'",,Bronze,Paul E. Cabaret & Co.,,,,Gift of the Daughters of the American Revolution,,,,,Y,,,,"Revolutionary War, War Memorial",,974803.6832507998,162094.70276339352
Christopher Columbus,"Columbus, Christopher",297,Y,Manhattan,Central Park,M010,7,6,South end of Mall,Y,"May 12, 1892",1892,Standing figure (over life size) on pedestal,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",CPC,"Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,Jeronimo Sunol,Napoleon Le Brun,New Yorkers of the New York Genealogical Society,,,,,Y,,,,"Sculpture, Explorer",,991796.8493956327,219761.22096030414
Christopher Columbus,"Columbus, Christopher",297,Y,Manhattan,Central Park,M010,7,6,South end of Mall,Y,"May 12, 1892",1892,Standing figure (over life size) on pedestal,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",CPC,"Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,Jeronimo Sunol,Napoleon Le Brun,New Yorkers of the New York Genealogical Society,,,,,Y,,,,"Sculpture, Explorer",,991796.8493956327,219761.22096030414
Vanderbilt Gates,,1619,Y,Manhattan,Central Park,M010,7,6,Conservatory Garden; 5th Avenue and 105th Street,Y,1939,,Ornamental wrought iron gates,,,"Iron, bronze tab, granite coping",,"Peregotte & Dauvillier, Paris",,George B. Post,Mrs. Gertrude Vanderbilt Whitney,,,,,Y,,,,,,997545.6341578811,228390.6902498901
Lombard Lamp,Lombard Lamp,936,Y,Manhattan,Central Park,M010,7,6,East Drive at 60th Street,Y,"March 1, 1979",ca. 1979,"Street lamp adorned with a pair of infant figures at each of four corners of base, plaque","H: 15'; Weight: 1,320 pounds",CPC,Lamp--cast iron; plaque--aluminum,,,Carl Borner (original),,"People of the City of Hamburg, Germany",,,,,Y,,,,,,991628.3208613098,218036.51509214938
Irving and Estelle Levy Playground Gate,Irving and Estelle Levy Playground Gate,898,Y,Manhattan,Central Park,M010,7,6,"Pat Hoffman Friedman Playground, 5th Avenue and 79th Street",Y,1958,1957,Two-leaved gate ornamented with animal figures; mounted plaque,,CPC,Bronze,,,A. Walter Beretta,John Wilson,Irving and Estelle Levy Foundation,,,,,Y,,,,,,994258.3795775473,222543.01657781005
Wallach Walk Paver,Wallach Walk Paver,1753,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; north of Tisch Children's Zoo, east of Balto",Y,May 1994,ca. 1994,inscribed paver surrounded by rough flagstones in concentric circles,diameter 2'; total installation diameter 6',,granite,,,,,"approximately $12,000; Miriam and Ira D. Wallach",,,,,,,,,,,992456.2847565562,219616.79244339466
Eagles,eagles (8),426,Y,Manhattan,Central Park,M010,7,6,"Central Park Wildlife Center, Fifth Avenue at 64th Street",Y,1941,,8 sculptured eagles,"H: 4'10"" W: 5'2"" D: 2'1""",,Granite,,,Rochette and Parzini,,,,,,,Y,,,,Animal: other,,992102.9268674701,219103.3266068101
John Purroy Mitchel,,1045,Y,Manhattan,Central Park,M010,7,6,Fifth Avenue at 90th Street,Y,1928,,"Stele, bust, ornamental wall","H: 12'6"" W: 12'",CPC,"North Jay granite, bronze, slate",,,Adolph Alexander Weinman,"Thomas Hastings, Donn Barber",Mitchel Memorial Committee,,,,,Y,,,,Politcal Figure,,995561.2322868109,225059.8415966481
The Indian Hunter,Indian Hunter,769,Y,Manhattan,Central Park,M010,7,6,South end of the Mall,Y,February 4. 1869,1866,Figure (over life-size) and dog on pedestal,"H: 10' W: 5' D: 6'3""",CPC,Bronze; Rockport granite (polished),"L.A. Amouroux, N.Y.",,John Quincy Adams Ward,,Subscription by artists and art patrons,,,,,Y,,,,"Sculpture, Animal: other",,991677.2659733891,219975.4807024002
Arsenal Mural,Arsenal Mural,54,Y,Manhattan,Central Park,M010,7,6,Arsenal lobby,Y,1937,1937,"Mural covering north, east, and south walls of lobby, and continuing on west wall at balcony level; complementary painted decoration of west wall and two columns at lobby level","North wall H: 7'½"" W: 20'; East wall H: 21'4½"" W: 33'11""; South wall H: 7'½"" W: 20'; West wall, lobby level H: 12'8"" W: 25' (approximate); West wall, balcony level H:7'6½"" W: 33'11""",HHT,Oil on canvas applied to walls,,,,,Works Progress Administration,,,,,Y,,,,,,992212.8629993051,218940.68913680315
Oscar Ammann Memorial,"Ammann, Oscar",31,N,Queens,,,7,19,"P.S. 27, 122nd Street and 14th Avenue, College Point",Y,1926,ca. 1926,mounted cannon,,,"iron, concrete",,,,,"$75; Oscar Ammann Post, American Legion",,,,,,,,,,,,
Baboon and Mandrill,Baboon and Mandrill,66,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; School building, west end of south façade",Y,1935,1935,Bas-relief,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,"Sculpture, Animal: other",,992260.756604299,219086.1153551489
Deer,Deer,375,O,Manhattan,Central Park,M010,7,6,Central Park Zoo; Central Park Wildlife Center; east side of south façade,Y,1935,1935,Bas-relief,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,"Animal: other, Sculpture",,991952.1141769737,218866.3215034008
"putney, edith n.",,1295,N,Queens,,,7,20,NEWTOWN HIGH SCHOOL; chicago Avenue and gerry st.,Y,1924,,tablet,,,bronze,,,nicholas a. pape,,gift. $750.,,,,,,,,,,,,
Columbus Monument,"Columbus, Christopher",299,Y,Manhattan,Central Park,M010,7,6,Columbus Circle,Y,"October 12, 1892",1892,"Standing figue (colossal scale) on rostral column on pedestal, base, and plinth; pedestal figure of a winged youth examining a globe; two bas-reliefs on base",Total: 76'; Figure H: 13'; Column H: 35'; Pedestal H: 28',CPC,Figures--Carrara marble; Column--granite; Rostra and bas-reliefs--bronze,"Nelli, Rome",,Gaetano Russo,,"Italian Americans led by Carlo Barsotti, publisher, Il Progresso  Italo Americano",,,,,Y,,,,"Sculpture, Explorer",,989263.6917323023,219104.90567189455
Petroglyph,,1179,O,the Bronx,Bronx Park,X002,14,12,New York Botanical Garden; along Bronx River,Y,c. 1000 ad to 1600 ad,,Petroglyph on boulder; Native American rock carving,H: 3' W: 3' D: 3',,Granite,,,Muncie Speaking Delaware Indians,,,,,,,,,,,,,,
Columbus Monument,"Columbus, Christopher",299,Y,Manhattan,Central Park,M010,7,6,Columbus Circle,Y,"October 12, 1892",1892,"Standing figue (colossal scale) on rostral column on pedestal, base, and plinth; pedestal figure of a winged youth examining a globe; two bas-reliefs on base",Total: 76'; Figure H: 13'; Column H: 35'; Pedestal H: 28',CPC,Figures--Carrara marble; Column--granite; Rostra and bas-reliefs--bronze,"Nelli, Rome",,Gaetano Russo,,"Italian Americans led by Carlo Barsotti, publisher, Il Progresso  Italo Americano",,,,,Y,,,,"Sculpture, Explorer",,989263.6917323023,219104.90567189455
Romeo and Juliet,,1973,Y,Manhattan,,M010,7,6,Near entrance of Delacorte Theater,Y,,1978,Over life-size group of two figures on pedestal,,CPC,Bronze and granite,"Spartaco Dionesi Foundry, Rome",,Milton Hebald,,George T. Delacorte,,,,,Y,,,,Literary Character,,992917.4846215546,223641.6649710536
New York Custom House,,1106,N,Manhattan,,,1,1,BOWLING GREEN,Y,,,Architectural sculpture program,,,Tennessee marble,,,Daniel Chester French,Cass Gilbert,,,,,,,,,,,,,
public school #17,,1254,N,Queens,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
American Museum of Natural History Tablet,American Museum of Natural History Tablet,1078,Y,Manhattan,Central Park,M010,7,6,The Arsenal Gallery,Y,"January 13, 1929",ca. 1929,Tablet,"H: 2'6"" W: 1'10""",,Carrara marble with bronze letters,,,,,American Museum of Natural History,,,,,Y,,,,,,992195.5808816403,218934.51723314822
Coney Island Boardwalk,coney island boardwalk,311,Y,Brooklyn,Coney Island Beach,B169,13,47,Surf Avenue and Broadway,M,1923,,Columns with tablets,,,Granite,,,,,Gift,,,,,,,,,,,,
Eagles,eagles (8),426,Y,Manhattan,Central Park,M010,7,6,"Central Park Wildlife Center, Fifth Avenue at 64th Street",Y,1941,,8 sculptured eagles,"H: 4'10"" W: 5'2"" D: 2'1""",,Granite,,,Rochette and Parzini,,,,,,,Y,,,,Animal: other,,992120.776241228,219008.0682671368
Fort Greene Eagles,eagles-fort green eagles (4),429,Y,Brooklyn,Fort Greene Park,M010,,6,Arsenal Lobby; Fifth Avenue and East 64th Street,Y,"November 14, 1908",1908,2 bronze eagles originally from Prison Ship Martyrs Monument,"48"" H x 36""Wx  24"" D",,Bronze,,,Adolph Alexander Weinman,,,,,,,Y,,,,Animal: other,,992207.0733127147,218952.16188289225
One Hundred and Sixth Infantry,,1137,N,Brooklyn,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
McCarren Pool Eagles,,2088,Y,Brooklyn,,B058,1,33,McCarren Park Pool entrance,Y,,,4 stylized eagles with upstretched wings,,,Bronze,,,,,,,,,,Y,06/20/2012,,,,,998063.091456309,201605.7477568984
Irish Hunger Monument,,1989,Y,Staten Island,Silver Lake Park,R022,1,35,,Y,,,Plaque on boulder near club house,,,,,,,,,,,,,Y,,,,,,,
Eagles,eagles (8),426,Y,Manhattan,Central Park,M010,7,6,"Central Park Wildlife Center, Fifth Avenue at 64th Street",Y,1941,,8 sculptured eagles,"H: 4'10"" W: 5'2"" D: 2'1""",,Granite,,,Rochette and Parzini,,,,,,,Y,,,,Animal: other,,992104.2572453916,219146.8783569783
John N. LaCorte Commemorative Sculpture,,1970,Y,Brooklyn,,B035,10,43,101st Street between Ft. Hamilton Parkway and Fourth Avenue; Bay Ridge; Southern end of park,Y,"October 27, 2004",Medallion 1964,"Low, crescent-shaped granite wall with bas-relief medallion of Verazzano and inscription",,Maintenance endowment held by City Parks Foundation,Lac du Bonnet granite and bronze,,,Albino Manca (medallion),"Mark Sullivan, Sullivan Group Design LLC (monument and landscape designer)",Italian Historic Society of America,,,,,Y,,,,,,975068.8920379728,161831.5143133998
"Cheetah, Leopard and Puma","Cheetah, Leopard and Puma",231,O,Manhattan,Central Park,M010,7,6,Central Park Zoo; Central Park Wildlife Center; west façade,Y,1935,1935,Bas-relief in four continuous sections,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,"Sculpture, Animal: other",,991951.7401619703,218884.3818347305
Twenty Third Regiment Memorial,Twenty Third Regiment Memorial,1581,N,Brooklyn,,,8,35,".; Twenty Third  Regiment Armory, Bedford and Atlantic Avenues",Y,1923,,"bas-relief representing an infantry charge, six (life-size) figures; affixed to the armory's  outer wall, Bedford Avenue",,,bronze,,,John Massey Rhind,,,,,,,,,,,"War Memorial, World War I",,,
Marabou,Marabou,971,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; Gallery, west end of north façade",Y,1935,1935,Bas-relief in two continuous sections,,,Indiana limestone,,,J. Walter,Aymar Embury II,,,,,,,,,,,,992116.5987561345,218820.33373448253
Gettysburg Tablet,,135,N,Brooklyn,Columbus Park,B113C,2,33,Brooklyn Borough Hall,Y,1909,,Plaque on wall. Inscription of Gettysburg Address with bas-relief of Lincoln.,,,Bronze,Gorham Co.,,,,Purchase,,,,,,,,,"Civil War, War Memorial",,,
Industrial Art,Industrial Art,775,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, sixth from left",Y,1905,ca. 1905,standing female figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Riis Park Clock (wise clock),,1342,N,Queens,Jacob Riis Park,Q049,18,46,RIIS PARK BOARDWALK,Y,"March 4, 1941; orig. c. 1877",,"4 dialed free standing clock, pole","dials 30""diam; overall ht 20'",,cast iron (?),,,,,"william a. wise & son co, bkln",,,,,,,,,,,,
The Tempest (Prospero and Miranda),,1539,Y,Manhattan,Central Park,M010,7,6,Delacorte Theatre,Y,"June 22, 1973",,"Bronze group, granite pedestal",,CPC,"Bronze, Chelmsford granite, tool pitch",,A. Ottavino Corp.,Milton Hebald,,Delacorte Foundation,,,,,Y,,,,Literary Character,,992935.0269093066,223635.5990383029
Americans Creed,Americans Creed,28,N,Brooklyn,,,16,37,"P.S. 73, MacDougal Street and Rockaway Avenue",Y,1923,ca. 1923,plaque,,,bronze,,Anodion Metal Company,,,$50; gift,,,,,,,,,,,,
Coney Island Tablet,,2156,Y,Brooklyn,,B113A,,,"Brooklyn War Memorial, auditorium, west side",S,"Sept. 11, 1925",,Plaque with flag decorations at top and sea scene at top center,,,Bronze,,,,,,,,,,Y,,,,"World War I, War Memorial",,,
Urns - central park (4),,1602,Y,Manhattan,Central Park,M010,7,6,Mall,Y,,,Basins on pedestals,"6'1""h",,"Rockport grnt (2), bluestone (2)",,also jonesboro red granite,,,,,,,,,,,,,,992150.1866154671,221008.30278372765
Mother Goose,,1069,Y,Manhattan,Central Park,M010,7,6,"Rumsey Playground, E. Drive at 72nd St.",Y,1938,,Group on pedestal,"H: 8'8"" W: 4'6"" D: 5'10""",CPC,Stony Creek and Deer Isle granites,,"J. Cacioppo, R. Anslow (?)","Fred. G.R. Roth, Walt. Beretta",,DPR,,,,,Y,,,,,,992656.5809438825,220767.58869822323
Fourteenth Infantry Regiment Doughboy,Fourteenth Infantry Regiment Doughboy,546,N,Brooklyn,,,4,3,"8th Avenue, between 14th and 15th Streets, in Armory yard",Y,1923,1923,charging figure (over life size) on pedestal,"pedestal  h 5' x w 2' 6"" x d 4'",,"bronze,  light gray granite","Gorham Foundry, Rhode Island",,Anton Schaaf,Helmle and Corbett,The Gold Star Mothers of America,,,,,,,,,"War Memorial, World War I",,,
Snow Babies,Snow Babies,1460,Y,Manhattan,Central Park,M010,7,6,"Entrance to Mary Harriman Rumsey Playground, East Drive at 72nd Street.",Y,1938,circa 1937,"Two figures, each at the top of a gatepost","H: 2'9"" W: 1'11"" D: 1'11""",CPC,Cast stone,,,Victor Frisch,,WPA,,,,,Y,,,,,,992611.9320830554,220631.22807855904
Civic Duty,,255,N,Manhattan,,,1,1,MUNICIPAL BUILDING; Chambers and Center Streets,Y,1912,,panel relief,,,Maine granite,,,Adolph A. Weiman,,puchase,,,,,,,,,Sculpture,,,
public school #57,,1271,N,Manhattan,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
public school #2,,1258,N,Manhattan,,,0,0,,Y,,,tablet,,,bronze,j. & r. lamb,,,,"gift, $125.",,,,,,,,,,,,
Balto,Balto,75,Y,Manhattan,Central Park,M010,7,6,"The Dene, west of 5th Avenue and East 67th Street",Y,1925,ca. 1925,Canine figure on integral plinth on boulder with relief tablet mounted on front,"Figure W: 4'6"" D: 2'6"";  tablet: H: 2'6¼"" W: 5'; Total H: 9'","CPC; $100,000 endowment",Figure--bronze; Tablet--slate; Natural boulder--Manhattan schist,,,Frederick George Richard Roth,,Balto Monument Committee,,,,,Y,,,"$7,500","Sculpture, Animal: other",,992279.1456751376,219800.92626146972
Swans,Swans,1530,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; Gallery, north end of east façade",Y,1935,1935,Bas-relief,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,,,992184.4585285485,218779.51098147035
Orchid Greenhouse,,1142,O,the Bronx,Bronx Park,X002,14,12,New York Botanical Garden,Y,1918,,Tablet,,,Bronze,,,John R. Brivley,,Gift,,,,,,,,,,,,
Altman Memorial Fountain,"Altman, Benjamin",16,Y,Manhattan,Central Park,M010,7,6,,N,July 1956,1955,Fountain,,,Stone,,,,,Altman Foundation,,,,,,,,,,,995359.8232408017,231688.23910097778
Elizabeth Bigelow Estes,"estes, elizabeth bigelow",456,O,the Bronx,Bronx Park,X002,14,12,New York Botanical Garden; near hemlock grove,Y,1929,,Seat (exedra),,,Marble,,,Ferrucio Vitale/Al Geiffert Jr.,,Gift,,,,,,,,,,,,
One Hundred and Tenth Street Fountain,,1138,Y,Manhattan,Central Park,M010,7,6,Fifth Avenue at 110th Street,N,1908,,Circular drinking fountain,,,Tennessee marble,,,,Cross and Cross,Gift,,,,,,,,,,,,
